building_rating_id,building_name,address,city,state,zipcode
2.0,courtyard apartments,252 Spalding Rd,Holts Summit,MO,65043
2.0,courtyard apartments,243 N Coffman St,Anaheim,CA,92805
2.0,courtyard apartments,736 E 12th Ave,Emporia,KS,66801
2.0,courtyard apartments,502 E Davis St,Harlingen,TX,78550
3.0,courtyard apartments,10 Carlee Ct,Greece,NY,14616
2.0,courtyard apartments,852 S Main St,Burlington,NC,27215
4.0,courtyard apartments,350 Westpark Ct,Camarillo,CA,93012
3.0,courtyard apartments,245 Main St,Manchester,NH,03102
3.0,courtyard apartments,2831 E Dandelion St,Pahrump,NV,89048
3.0,courtyard apartments,1034 Spring Valley Rd,Osage Beach,MO,65065
3.0,courtyard apartments,84 W Broad St,Bridgeton,NJ,08302
3.0,courtyard apartments,905 Paluxy Rd,Granbury,TX,76048
2.0,courtyard apartments,800 S Lincoln Ave,Beaver Dam,WI,53916
3.0,courtyard apartments,3704 E Main St,Gatesville,TX,76528
3.0,courtyard apartments,1601 Belsly Blvd,Moorhead,MN,56560
3.0,courtyard apartments,1420 Jefferson St,Alexandria,MN,56308
2.0,courtyard apartments,2910 Bunting Ave,Grand Junction,CO,81504
3.0,courtyard apartments,4300 Prairie Ave,Amarillo,TX,79109
3.0,courtyard apartments,3505 East Ave S,La Crosse,WI,54601
3.0,courtyard apartments,1453 N 11th Ave E,Newton,IA,50208
3.0,courtyard apartments,1911 E 17th St,Idaho Falls,ID,83404
2.0,courtyard apartments,1216 S Burnside Ave,Gonzales,LA,70737
3.0,courtyard apartments,92 N Berger Pky,Fond du Lac,WI,54935
2.0,courtyard apartments,571 Ridge Rd,Arcata,CA,95521
3.0,courtyard apartments,2050 Pepperell Pky,Opelika,AL,36801
2.0,courtyard apartments,415 S Marina St,Prescott,AZ,86303
3.0,courtyard apartments,406 W Locust St,Lodi,CA,95240
3.0,courtyard apartments,307 2nd Ave NE,Rugby,ND,58368
3.0,courtyard apartments,32 Indiana Dr,Toccoa,GA,30577
2.0,courtyard apartments,12250 W North Ave,Wauwatosa,WI,53226
3.0,courtyard apartments,1003 24th St,Bellingham,WA,98225
,courtyard apartments,242 E North St,Hastings,MI,49058
2.0,hillcrest apartments,2822 Hillcrest Dr,San Antonio,TX,78201
2.0,hillcrest apartments,8315 5th Ave NE,Seattle,WA,98115
2.0,hillcrest apartments,18700 101st Ave NE,Bothell,WA,98011
2.0,hillcrest apartments,1801 Blanchard Ct SW,Wyoming,MI,49519
2.0,hillcrest apartments,833 2nd St,Waterloo,IA,50701
2.0,hillcrest apartments,146 Persimmon,Genesee,ID,83832
2.0,hillcrest apartments,150 West Ave,Woodstown,NJ,08098
2.0,hillcrest apartments,704 W First Ave,La Habra,CA,90631
2.0,hillcrest apartments,642 Allgood Rd,Marietta,GA,30060
2.0,hillcrest apartments,21 W Lee St,Seattle,WA,98119
2.0,hillcrest apartments,8015 Citrus Ave,Fontana,CA,92336
2.0,hillcrest apartments,617 Hilltop Dr,Bordentown,NJ,08505
2.0,hillcrest apartments,7582 SW Hunziker St,Tigard,OR,97223
2.0,hillcrest apartments,2190 SE 5th St,Pompano Beach,FL,33062
2.0,hillcrest apartments,101 Woodcreek Dr,Rossville,GA,30741
2.0,hillcrest apartments,241 29th St,Oakland,CA,94611
2.0,hillcrest apartments,19130 Outer Hwy 18,Apple Valley,CA,92307
2.0,hillcrest apartments,1516 S 27th St,Nederland,TX,77627
3.0,hillcrest apartments,1721 E 3rd St,Duluth,MN,55812
